daftar_saham
AALI
ABBA
ABDA
ABMM
ACES
ACST
ADES
ADHI
ADMF
ADMG
ADRO
AGII
AGRO
AGRS
AHAP
AIMS
AISA
AKKU
AKPI
AKRA
AKSI
ALDO
ALKA
ALMI
ALTO
AMAG
AMFG
AMIN
AMRT
ANJT
ANTM
APEX
APIC
APII
APLI
APLN
ARGO
ARII
ARNA
ARTA
ARTI
ARTO
ASBI
ASDM
ASGR
ASII
ASJT
ASMI
ASRI
ASRM
ASSA
ATIC
AUTO
BABP
BACA
BAJA
BALI
BAPA
BATA
BAYU
BBCA
BBHI
BBKP
BBLD
BBMD
BBNI
BBRI
BBRM
BBTN
BBYB
BCAP
BCIC
BCIP
BDMN
BEKS
BEST
BFIN
BGTG
BHIT
BIKA
BIMA
BINA
BIPI
BIPP
BIRD
BISI
BJBR
BJTM
BKDP
BKSL
BKSW
BLTA
BLTZ
BMAS
BMRI
BMSR
BMTR
BNBA
BNBR
BNGA
BNII
BNLI
BOGA
BOLT
BPFI
BPII
BRAM
BRMS
BRNA
BRPT
BSDE
BSIM
BSSR
BSWD
BTEK
BTEL
BTON
BTPN
BUDI
BUKK
BULL
BUMI
BUVA
BVIC
BWPT
BYAN
CANI
CARS
CASA
CASS
CEKA
CENT
CFIN
CINT
CITA
CLPI
CMNP
CMPP
CNKO
CNTX
COWL
CPIN
CPRO
CSAP
CTBN
CTRA
CTTH
DART
DAYA
DEFI
DEWA
DGIK
DILD
DKFT
DLTA
DMAS
DNAR
DNET
DOID
DPNS
DPUM
DSFI
DSNG
DSSA
DUTI
DVLA
DYAN
ECII
EKAD
ELSA
ELTY
EMDE
EMTK
ENRG
EPMT
ERAA
ERTX
ESSA
ESTI
ETWA
EXCL
FAST
FASW
FISH
FMII
FORU
FPNI
FREN
GAMA
GDST
GDYR
GEMA
GEMS
GGRM
GIAA
GJTL
GLOB
GMTD
GOLD
GOLL
GPRA
GSMF
GTBO
GWSA
GZCO
HADE
HDFA
HERO
HEXA
HITS
HMSP
HOME
HOTL
HRUM
IATA
IBFN
IBST
ICBP
ICON
IDPR
IGAR
IIKP
IKAI
IKBI
IMAS
IMJS
IMPC
INAF
INAI
INCF
INCI
INCO
INDF
INDR
INDS
INDX
INDY
INKP
INPC
INPP
INRU
INTA
INTD
INTP
IPOL
ISAT
ISSP
ITMA
ITMG
JAWA
JECC
JGLE
JIHD
JKON
JKSW
JPFA
JRPT
JSMR
JSPT
JTPE
KAEF
KARW
KBLI
KBLM
KBLV
KBRI
KDSI
KIAS
KICI
KIJA
KINO
KKGI
KLBF
KOBX
KOIN
KONI
KOPI
KPIG
KRAH
KRAS
KREN
LAPD
LCGP
LEAD
LINK
LION
LMAS
LMPI
LMSH
LPCK
LPGI
LPIN
LPKR
LPLI
LPPF
LPPS
LRNA
LSIP
LTLS
MAGP
MAIN
MAMI
MAPI
MARI
MASA
MAYA
MBAP
MBSS
MBTO
MCOR
MDIA
MDKA
MDLN
MDRN
MEDC
MEGA
MERK
META
MFIN
MFMI
MGNA
MICE
MIDI
MIKA
MIRA
MITI
MKNT
MKPI
MLBI
MLIA
MLPL
MLPT
MMLP
MNCN
MPMX
MPPA
MRAT
MREI
MSKY
MTDL
MTFN
MTLA
MTRA
MTSM
MYOH
MYOR
MYRX
MYTX
NELY
NIKL
NIRO
NISP
NOBU
NRCA
OASA
OCAP
OKAS
OMRE
PADI
PALM
PANR
PANS
PBRX
PBSA
PDES
PEGE
PGAS
PGLI
PICO
PJAA
PKPK
PLAS
PLIN
PNBN
PNBS
PNIN
PNLF
PNSE
POLY
POOL
PORT
POWR
PPRO
PRAS
PRDA
PSAB
PSDN
PSKT
PTBA
PTIS
PTPP
PTRO
PTSN
PTSP
PUDP
PWON
PYFA
RAJA
RANC
RBMS
RDTX
RELI
RICY
RIGS
RIMO
RODA
SAFE
SAME
SCCO
SCMA
SCPI
SDMU
SDPC
SDRA
SGRO
SHID
SHIP
SIDO
SILO
SIMA
SIMP
SIPD
SKBM
SKLT
SKYB
SMAR
SMBR
SMCB
SMDM
SMDR
SMGR
SMMA
SMMT
SMRA
SMRU
SMSM
SOCI
SONA
SPMA
SQMI
SRAJ
SRIL
SRSN
SRTG
SSIA
SSMS
SSTM
STAR
STTP
SULI
SUPR
TALF
TARA
TAXI
TBIG
TBLA
TBMS
TCID
TELE
TFCO
TGKA
TIFA
TINS
TIRA
TIRT
TKIM
TLKM
TMAS
TMPO
TOBA
TOTL
TOTO
TOWR
TPIA
TPMA
TRAM
TRIM
TRIS
TRST
TRUS
TSPC
TURI
ULTJ
UNIC
UNIT
UNSP
UNTR
UNVR
VICO
VINS
VIVA
VOKS
VRNA
WAPO
WEHA
WICO
WIIM
WIKA
WINS
WOMF
WSBP
WSKT
WTON
YPAS
YULE
ZBRA
