Kode,Nama Perusahaan
AALI,Astra Agro Lestari Tbk.
ABBA,Mahaka Media Tbk.
ABDA,Asuransi Bina Dana Arta Tbk.
ABMM,ABM Investama Tbk.
ACES,Aspirasi Hidup Indonesia Tbk.
ACST,Acset Indonusa Tbk.
ADES,Akasha Wira International Tbk.
ADHI,Adhi Karya (Persero) Tbk.
ADMF,Adira Dinamika Multi Finance T
ADMG,Polychem Indonesia Tbk
ADRO,Alamtri Resources Indonesia Tb
AGII,Samator Indo Gas Tbk.
AGRO,Bank Raya Indonesia Tbk.
AGRS,Bank IBK Indonesia Tbk.
AHAP,Asuransi Harta Aman Pratama Tb
AIMS,Artha Mahiya Investama Tbk.
AISA,FKS Food Sejahtera Tbk.
AKKU,Anugerah Kagum Karya Utama Tbk
AKPI,Argha Karya Prima Industry Tbk
AKRA,AKR Corporindo Tbk.
AKSI,Mineral Sumberdaya Mandiri Tbk
ALDO,Alkindo Naratama Tbk.
ALKA,Alakasa Industrindo Tbk
ALMI,Alumindo Light Metal Industry 
ALTO,Tri Banyan Tirta Tbk.
AMAG,Asuransi Multi Artha Guna Tbk.
AMFG,Asahimas Flat Glass Tbk.
AMIN,Ateliers Mecaniques D Indonesi
AMRT,Sumber Alfaria Trijaya Tbk.
ANJT,Austindo Nusantara Jaya Tbk.
ANTM,Aneka Tambang Tbk.
APEX,Apexindo Pratama Duta Tbk.
APIC,Pacific Strategic Financial Tb
APII,Arita Prima Indonesia Tbk.
APLI,Asiaplast Industries Tbk.
APLN,Agung Podomoro Land Tbk.
ARGO,Argo Pantes Tbk
ARII,Atlas Resources Tbk.
ARNA,Arwana Citramulia Tbk.
ARTA,Arthavest Tbk
ARTI,Ratu Prabu Energi Tbk
ARTO,Bank Jago Tbk.
ASBI,Asuransi Bintang Tbk.
ASDM,Asuransi Dayin Mitra Tbk.
ASGR,Astra Graphia Tbk.
ASII,Astra International Tbk.
ASJT,Asuransi Jasa Tania Tbk.
ASMI,Asuransi Maximus Graha Persada
ASRI,Alam Sutera Realty Tbk.
ASRM,Asuransi Ramayana Tbk.
ASSA,Adi Sarana Armada Tbk.
ATIC,Anabatic Technologies Tbk.
AUTO,Astra Otoparts Tbk.
BABP,Bank MNC Internasional Tbk.
BACA,Bank Capital Indonesia Tbk.
BAJA,Saranacentral Bajatama Tbk.
BALI,Bali Towerindo Sentra Tbk.
BAPA,Bekasi Asri Pemula Tbk.
BATA,Sepatu Bata Tbk.
BAYU,Bayu Buana Tbk
BBCA,Bank Central Asia Tbk.
BBHI,Allo Bank Indonesia Tbk.
BBKP,Bank KB Indonesia Tbk.
BBLD,Buana Finance Tbk.
BBMD,Bank Mestika Dharma Tbk.
BBNI,Bank Negara Indonesia (Persero
BBRI,Bank Rakyat Indonesia (Persero
BBRM,Pelayaran Nasional Bina Buana 
BBTN,Bank Tabungan Negara (Persero)
BBYB,Bank Neo Commerce Tbk.
BCAP,MNC Kapital Indonesia Tbk.
BCIC,Bank JTrust Indonesia Tbk.
BCIP,Bumi Citra Permai Tbk.
BDMN,Bank Danamon Indonesia Tbk.
BEKS,Bank Pembangunan Daerah Banten
BEST,Bekasi Fajar Industrial Estate
BFIN,BFI Finance  Indonesia Tbk.
BGTG,Bank Ganesha Tbk.
BHIT,MNC Asia Holding Tbk.
BIKA,Binakarya Jaya Abadi Tbk.
BIMA,Primarindo Asia Infrastructure
BINA,Bank Ina Perdana Tbk.
BIPI,Astrindo Nusantara Infrastrukt
BIPP,Bhuwanatala Indah Permai Tbk.
BIRD,Blue Bird Tbk.
BISI,BISI International Tbk.
BJBR,Bank Pembangunan Daerah Jawa B
BJTM,Bank Pembangunan Daerah Jawa T
BKDP,Bukit Darmo Property Tbk
BKSL,Sentul City Tbk.
BKSW,Bank QNB Indonesia Tbk.
BLTA,Berlian Laju Tanker Tbk
BLTZ,Graha Layar Prima Tbk.
BMAS,Bank Maspion Indonesia Tbk.
BMRI,Bank Mandiri (Persero) Tbk.
BMSR,Bintang Mitra Semestaraya Tbk
BMTR,Global Mediacom Tbk.
BNBA,Bank Bumi Arta Tbk.
BNBR,Bakrie & Brothers Tbk
BNGA,Bank CIMB Niaga Tbk.
BNII,Bank Maybank Indonesia Tbk.
BNLI,Bank Permata Tbk.
BOGA,Bintang Oto Global Tbk.
BOLT,Garuda Metalindo Tbk.
BPFI,Woori Finance Indonesia Tbk.
BPII,Batavia Prosperindo Internasio
BRAM,Indo Kordsa Tbk.
BRMS,Bumi Resources Minerals Tbk.
BRNA,Berlina Tbk.
BRPT,Barito Pacific Tbk.
BSDE,Bumi Serpong Damai Tbk.
BSIM,Bank Sinarmas Tbk.
BSSR,Baramulti Suksessarana Tbk.
BSWD,Bank Of India Indonesia Tbk.
BTEK,Bumi Teknokultura Unggul Tbk
BTEL,Bakrie Telecom Tbk.
BTON,Betonjaya Manunggal Tbk.
BTPN,Bank SMBC Indonesia Tbk.
BUDI,Budi Starch & Sweetener Tbk.
BUKK,Bukaka Teknik Utama Tbk.
BULL,Buana Lintas Lautan Tbk.
BUMI,Bumi Resources Tbk.
BUVA,Bukit Uluwatu Villa Tbk.
BVIC,Bank Victoria International Tb
BWPT,Eagle High Plantations Tbk.
BYAN,Bayan Resources Tbk.
CANI,Capitol Nusantara Indonesia Tb
CARS,Industri dan Perdagangan Bintr
CASA,Capital Financial Indonesia Tb
CASS,Cahaya Aero Services Tbk.
CEKA,Wilmar Cahaya Indonesia Tbk.
CENT,Centratama Telekomunikasi Indo
CFIN,Clipan Finance Indonesia Tbk.
CINT,Chitose Internasional Tbk.
CITA,Cita Mineral Investindo Tbk.
CLPI,Colorpak Indonesia Tbk.
CMNP,Citra Marga Nusaphala Persada 
CMPP,AirAsia Indonesia Tbk.
CNKO,Exploitasi Energi Indonesia Tb
CNTX,Century Textile Industry Tbk.
COWL,Cowell Development Tbk.
CPIN,Charoen Pokphand Indonesia Tbk
CPRO,Central Proteina Prima Tbk.
CSAP,Catur Sentosa Adiprana Tbk.
CTBN,Citra Tubindo Tbk.
CTRA,Ciputra Development Tbk.
CTTH,Citatah Tbk.
DART,Duta Anggada Realty Tbk.
DAYA,Duta Intidaya Tbk.
DEFI,Danasupra Erapacific Tbk.
DEWA,Darma Henwa Tbk
DGIK,Nusa Konstruksi Enjiniring Tbk
DILD,Intiland Development Tbk.
DKFT,Central Omega Resources Tbk.
DLTA,Delta Djakarta Tbk.
DMAS,Puradelta Lestari Tbk.
DNAR,Bank Oke Indonesia Tbk.
DNET,Indoritel Makmur Internasional
DOID,BUMA Internasional Grup Tbk.
DPNS,Duta Pertiwi Nusantara Tbk.
DPUM,Dua Putra Utama Makmur Tbk.
DSFI,Dharma Samudera Fishing Indust
DSNG,Dharma Satya Nusantara Tbk.
DSSA,Dian Swastatika Sentosa Tbk
DUTI,Duta Pertiwi Tbk
DVLA,Darya-Varia Laboratoria Tbk.
DYAN,Dyandra Media International Tb
ECII,Electronic City Indonesia Tbk.
EKAD,Ekadharma International Tbk.
ELSA,Elnusa Tbk.
ELTY,Bakrieland Development Tbk.
EMDE,Megapolitan Developments Tbk.
EMTK,Elang Mahkota Teknologi Tbk.
ENRG,Energi Mega Persada Tbk.
EPMT,Enseval Putera Megatrading Tbk
ERAA,Erajaya Swasembada Tbk.
ERTX,Eratex Djaja Tbk.
ESSA,ESSA Industries Indonesia Tbk.
ESTI,Ever Shine Tex Tbk.
ETWA,Eterindo Wahanatama Tbk
EXCL,XLSMART Telecom Sejahtera Tbk.
FAST,Fast Food Indonesia Tbk.
FASW,Fajar Surya Wisesa Tbk.
FISH,FKS Multi Agro Tbk.
FMII,Fortune Mate Indonesia Tbk
FORU,Fortune Indonesia Tbk
FPNI,Lotte Chemical Titan Tbk.
,
GAMA,Aksara Global Development Tbk.
GDST,Gunawan Dianjaya Steel Tbk.
GDYR,Goodyear Indonesia Tbk.
GEMA,Gema Grahasarana Tbk.
GEMS,Golden Energy Mines Tbk.
GGRM,Gudang Garam Tbk.
GIAA,Garuda Indonesia (Persero) Tbk
GJTL,Gajah Tunggal Tbk.
GLOB,Globe Kita Terang Tbk.
GMTD,Gowa Makassar Tourism Developm
GOLD,Visi Telekomunikasi Infrastruk
GOLL,Golden Plantation Tbk.
GPRA,Perdana Gapuraprima Tbk.
GSMF,Equity Development Investment 
GTBO,Garda Tujuh Buana Tbk
GWSA,Greenwood Sejahtera Tbk.
GZCO,Gozco Plantations Tbk.
HADE,Himalaya Energi Perkasa Tbk.
HDFA,Radana Bhaskara Finance Tbk.
HERO,DFI Retail Nusantara Tbk.
HEXA,Hexindo Adiperkasa Tbk.
HITS,Humpuss Intermoda Transportasi
HMSP,H.M. Sampoerna Tbk.
HOME,Hotel Mandarine Regency Tbk.
HOTL,Saraswati Griya Lestari Tbk.
HRUM,Harum Energy Tbk.
IATA,MNC Energy Investments Tbk.
IBFN,Intan Baru Prana Tbk.
IBST,Inti Bangun Sejahtera Tbk.
ICBP,Indofood CBP Sukses Makmur Tbk
ICON,Island Concepts Indonesia Tbk.
IDPR,Indonesia Pondasi Raya Tbk.
IGAR,Champion Pacific Indonesia Tbk
IIKP,Inti Agri Resources Tbk
IKAI,Intikeramik Alamasri Industri 
IKBI,Sumi Indo Kabel Tbk.
IMAS,Indomobil Sukses Internasional
IMJS,Indomobil Multi Jasa Tbk.
IMPC,Impack Pratama Industri Tbk.
INAF,Indofarma Tbk.
INAI,Indal Aluminium Industry Tbk.
INCF,Indo Komoditi Korpora Tbk.
INCI,Intanwijaya Internasional Tbk
INCO,Vale Indonesia Tbk.
INDF,Indofood Sukses Makmur Tbk.
INDR,Indo-Rama Synthetics Tbk.
INDS,Indospring Tbk.
INDX,Tanah Laut Tbk
INDY,Indika Energy Tbk.
INKP,Indah Kiat Pulp & Paper Tbk.
INPC,Bank Artha Graha Internasional
INPP,Indonesian Paradise Property T
INRU,Toba Pulp Lestari Tbk.
INTA,Intraco Penta Tbk.
INTD,Inter Delta Tbk
INTP,Indocement Tunggal Prakarsa Tb
IPOL,Indopoly Swakarsa Industry Tbk
ISAT,Indosat Tbk.
ISSP,Steel Pipe Industry of Indones
ITMA,Sumber Energi Andalan Tbk.
ITMG,Indo Tambangraya Megah Tbk.
JAWA,Jaya Agra Wattie Tbk.
JECC,Jembo Cable Company Tbk.
JGLE,Graha Andrasentra Propertindo 
JIHD,Jakarta International Hotels &
JKON,Jaya Konstruksi Manggala Prata
,
JPFA,Japfa Comfeed Indonesia Tbk.
JRPT,Jaya Real Property Tbk.
JSMR,Jasa Marga (Persero) Tbk.
JSPT,Jakarta Setiabudi Internasiona
JTPE,Jasuindo Tiga Perkasa Tbk.
KAEF,Kimia Farma Tbk.
KARW,Meratus Jasa Prima Tbk.
KBLI,KMI Wire & Cable Tbk.
KBLM,Kabelindo Murni Tbk.
KBLV,First Media Tbk.
KBRI,Kertas Basuki Rachmat Indonesi
KDSI,Kedawung Setia Industrial Tbk.
KIAS,Keramika Indonesia Assosiasi T
KICI,Kedaung Indah Can Tbk
KIJA,Kawasan Industri Jababeka Tbk.
KINO,Kino Indonesia Tbk.
KKGI,Resource Alam Indonesia Tbk.
KLBF,Kalbe Farma Tbk.
KOBX,Kobexindo Tractors Tbk.
KOIN,Kokoh Inti Arebama Tbk
KONI,Perdana Bangun Pusaka Tbk
KOPI,Mitra Energi Persada Tbk.
KPIG,MNC Tourism Indonesia Tbk.
,
KRAS,Krakatau Steel (Persero) Tbk.
KREN,Quantum Clovera Investama Tbk.
LAPD,Leyand International Tbk.
LCGP,Eureka Prima Jakarta Tbk.
LEAD,Logindo Samudramakmur Tbk.
LINK,Link Net Tbk.
LION,Lion Metal Works Tbk.
LMAS,Limas Indonesia Makmur Tbk
LMPI,Langgeng Makmur Industri Tbk.
LMSH,Lionmesh Prima Tbk.
LPCK,Lippo Cikarang Tbk
LPGI,Lippo General Insurance Tbk.
LPIN,Multi Prima Sejahtera Tbk
LPKR,Lippo Karawaci Tbk.
LPLI,Star Pacific Tbk
LPPF,Matahari Department Store Tbk.
LPPS,Lenox Pasifik Investama Tbk.
LRNA,Eka Sari Lorena Transport Tbk.
LSIP,PP London Sumatra Indonesia Tb
LTLS,Lautan Luas Tbk.
MAGP,Multi Agro Gemilang Plantation
MAIN,Malindo Feedmill Tbk.
,
MAPI,Mitra Adiperkasa Tbk.
MARI,Mahaka Radio Integra Tbk.
MASA,Multistrada Arah Sarana Tbk.
MAYA,Bank Mayapada Internasional Tb
MBAP,Mitrabara Adiperdana Tbk.
MBSS,Mitrabahtera Segara Sejati Tbk
MBTO,Martina Berto Tbk.
MCOR,Bank China Construction Bank I
MDIA,Intermedia Capital Tbk.
MDKA,Merdeka Copper Gold Tbk.
MDLN,Modernland Realty Tbk.
MDRN,Modern Internasional Tbk.
MEDC,Medco Energi Internasional Tbk
MEGA,Bank Mega Tbk.
MERK,Merck Tbk.
META,Nusantara Infrastructure Tbk.
MFIN,Mandala Multifinance Tbk.
MFMI,Multifiling Mitra Indonesia Tb
MGNA,Magna Investama Mandiri Tbk.
MICE,Multi Indocitra Tbk.
MIDI,Midi Utama Indonesia Tbk.
MIKA,Mitra Keluarga Karyasehat Tbk.
MIRA,Mitra International Resources 
MITI,Mitra Investindo Tbk.
MKNT,Mitra Komunikasi Nusantara Tbk
MKPI,Metropolitan Kentjana Tbk.
MLBI,Multi Bintang Indonesia Tbk.
MLIA,Mulia Industrindo Tbk
MLPL,Multipolar Tbk.
MLPT,Multipolar Technology Tbk.
MMLP,Mega Manunggal Property Tbk.
MNCN,Media Nusantara Citra Tbk.
MPMX,Mitra Pinasthika Mustika Tbk.
MPPA,Matahari Putra Prima Tbk.
MRAT,Mustika Ratu Tbk.
MREI,Maskapai Reasuransi Indonesia 
MSKY,MNC Sky Vision Tbk.
MTDL,Metrodata Electronics Tbk.
MTFN,Capitalinc Investment Tbk.
MTLA,Metropolitan Land Tbk.
MTRA,Mitra Pemuda Tbk.
MTSM,Metro Realty Tbk.
MYOH,Samindo Resources Tbk.
MYOR,Mayora Indah Tbk.
,
MYTX,Asia Pacific Investama Tbk.
NELY,Pelayaran Nelly Dwi Putri Tbk.
NIKL,Pelat Timah Nusantara Tbk.
NIRO,City Retail Developments Tbk.
NISP,Bank OCBC NISP Tbk.
NOBU,Bank Nationalnobu Tbk.
NRCA,Nusa Raya Cipta Tbk.
OASA,Maharaksa Biru Energi Tbk.
OCAP,Onix Capital Tbk.
OKAS,Ancora Indonesia Resources Tbk
OMRE,Indonesia Prima Property Tbk
PADI,Minna Padi Investama Sekuritas
